56;translation-mode;implementation
56;language;csharp
30;translation-mode;implementation
30;language;csharp
43;translation-mode;implementation
43;language;csharp
41;translation-mode;implementation
41;language;csharp
55;translation-mode;implementation
55;language;csharp
60;translation-mode;implementation
60;language;csharp
49;translation-mode;implementation
49;language;csharp
37;translation-mode;implementation
37;language;csharp
109;translation-mode;implementation
109;language;csharp
25;translation-mode;implementation
25;language;csharp
15;translation-mode;implementation
15;language;csharp
34;translation-mode;implementation
34;language;csharp
67;translation-mode;implementation
67;language;csharp
61;translation-mode;implementation
61;language;csharp
24;translation-mode;implementation
24;language;csharp
38;translation-mode;implementation
38;language;csharp
23;translation-mode;implementation
23;language;csharp
46;translation-mode;implementation
46;language;csharp
66;translation-mode;implementation
66;language;csharp
102;translation-mode;implementation
102;language;csharp
54;translation-mode;implementation
54;language;csharp
33;translation-mode;implementation
33;language;csharp
111;translation-mode;implementation
111;language;csharp
62;translation-mode;implementation
62;language;csharp
45;translation-mode;implementation
45;language;csharp
18;translation-mode;implementation
18;language;csharp
79;translation-mode;implementation
79;language;csharp
44;translation-mode;implementation
44;language;csharp
95;translation-mode;implementation
95;language;csharp
110;translation-mode;implementation
110;language;csharp
20;translation-mode;implementation
20;language;csharp
19;translation-mode;implementation
19;language;csharp
63;translation-mode;implementation
63;language;csharp
42;translation-mode;implementation
42;language;csharp
31;translation-mode;implementation
31;language;csharp
26;translation-mode;implementation
26;language;csharp
68;translation-mode;implementation
68;language;csharp
88;translation-mode;implementation
88;language;csharp
48;translation-mode;implementation
48;language;csharp
50;translation-mode;implementation
50;language;csharp
64;translation-mode;implementation
64;language;csharp
53;translation-mode;implementation
53;language;csharp
32;translation-mode;implementation
32;language;csharp
35;translation-mode;implementation
35;language;csharp
47;translation-mode;implementation
47;language;csharp
13;translation-mode;implementation
13;language;csharp
22;translation-mode;implementation
22;language;csharp
27;translation-mode;implementation
27;language;csharp
28;translation-mode;implementation
28;language;csharp
39;translation-mode;implementation
39;language;csharp
36;translation-mode;implementation
36;language;csharp
17;translation-mode;implementation
17;language;csharp
51;translation-mode;implementation
51;language;csharp
12;translation-mode;implementation
12;language;csharp
57;translation-mode;implementation
57;language;csharp
58;translation-mode;implementation
58;language;csharp
29;translation-mode;implementation
29;language;csharp
16;translation-mode;implementation
16;language;csharp
59;translation-mode;implementation
59;language;csharp
5;translation-mode;implementation
5;language;csharp
108;translation-mode;implementation
108;language;csharp
100;_signature;void QACInstallerPicker.App.Views.SettingsWindow.InitializeComponent()
101;_signature;void QACInstallerPicker.App.Views.SettingsWindow.System.Windows.Markup.IComponentConnector.Connect(System.Int32,System.Object)
101;__key;d8eb0248
85;_signature;void QACInstallerPicker.App.Views.CustomTabPreviewWindow.InitializeComponent()
87;_signature;void QACInstallerPicker.App.Views.CustomTabPreviewWindow.System.Windows.Markup.IStyleConnector.Connect(System.Int32,System.Object)
87;__key;d8eb0248
86;_signature;void QACInstallerPicker.App.Views.CustomTabPreviewWindow.System.Windows.Markup.IComponentConnector.Connect(System.Int32,System.Object)
86;__key;d8eb0248
93;_signature;void QACInstallerPicker.App.Views.LargeTextEditorWindow.InitializeComponent()
94;_signature;void QACInstallerPicker.App.Views.LargeTextEditorWindow.System.Windows.Markup.IComponentConnector.Connect(System.Int32,System.Object)
94;__key;d8eb0248
106;_signature;void QACInstallerPicker.App.App.InitializeComponent()
107;_signature;void QACInstallerPicker.App.App.Main()
76;_signature;void QACInstallerPicker.App.MainWindow.InitializeComponent()
78;_signature;void QACInstallerPicker.App.MainWindow.System.Windows.Markup.IStyleConnector.Connect(System.Int32,System.Object)
78;__key;d8eb0248
77;_signature;void QACInstallerPicker.App.MainWindow.System.Windows.Markup.IComponentConnector.Connect(System.Int32,System.Object)
77;__key;d8eb0248
1;__locs;390
